0,1,2,3,4,counts
www.samsung.com,us,appstore,app,G00008719496,1
www.samsung.com,us,appstore,app,G00008726659,1
www.samsung.com,us,appstore,app,G00008736626,1
www.samsung.com,us,appstore,app,G00008746654,1
www.samsung.com,us,appstore,app,G00008747821,1
www.samsung.com,us,appstore,app,G00008792376,1
www.samsung.com,us,appstore,app,G00009130522,1
www.samsung.com,us,appstore,app,G00008879578,1
www.samsung.com,us,appstore,app,G00008962713,1
www.samsung.com,us,appstore,app,G00008996724,1
www.samsung.com,us,appstore,app,G00008997056,1
www.samsung.com,us,appstore,app,G00008997059,1
www.samsung.com,us,appstore,app,G00009059278,1
www.samsung.com,us,appstore,app,G00006798031,1
www.samsung.com,us,appstore,app,G00006637338,1
www.samsung.com,us,appstore,app,G00006558276,1
www.samsung.com,us,appstore,app,G00004234314,1
www.samsung.com,us,appstore,app,G00004234291,1
www.samsung.com,us,appstore,app,G00004234298,1
www.samsung.com,us,appstore,app,G00004234302,1
www.samsung.com,us,appstore,app,G00004234305,1
www.samsung.com,us,appstore,app,G00004234308,1
www.samsung.com,us,appstore,app,G00004234311,1
www.samsung.com,us,appstore,app,G00004234317,1
www.samsung.com,us,appstore,app,G00004234134,1
www.samsung.com,us,appstore,app,G00004234321,1
www.samsung.com,us,appstore,app,G00004234324,1
www.samsung.com,us,appstore,app,G00004234333,1
www.samsung.com,us,appstore,app,G00004234338,1
www.samsung.com,us,appstore,app,G00004234433,1
www.samsung.com,us,appstore,app,G00004234647,1
www.samsung.com,us,appstore,app,G00004234280,1
www.samsung.com,us,appstore,app,G00004200891,1
www.samsung.com,us,appstore,app,G00006551863,1
www.samsung.com,us,appstore,app,G00003625246,1
www.samsung.com,us,appstore,app,G00003355939,1
www.samsung.com,us,appstore,app,G00003381911,1
www.samsung.com,us,appstore,app,G00003513421,1
www.samsung.com,us,appstore,app,G00003513424,1
www.samsung.com,us,appstore,app,G00003544615,1
www.samsung.com,us,appstore,app,G00003551619,1
www.samsung.com,us,appstore,app,G00003676833,1
www.samsung.com,us,appstore,app,G00004126187,1
www.samsung.com,us,appstore,app,G00003796304,1
www.samsung.com,us,appstore,app,G00003828881,1
www.samsung.com,us,appstore,app,G00003902533,1
www.samsung.com,us,appstore,app,G00003902592,1
www.samsung.com,us,appstore,app,G00004125612,1
www.samsung.com,us,appstore,app,G00004126184,1
www.samsung.com,us,appstore,app,G00004264260,1
www.samsung.com,us,appstore,app,G00004319296,1
www.samsung.com,us,appstore,app,G00004319318,1
www.samsung.com,us,appstore,app,G00006220341,1
www.samsung.com,us,appstore,app,G00005885277,1
www.samsung.com,us,appstore,app,G00005983328,1
www.samsung.com,us,appstore,app,G00006007303,1
www.samsung.com,us,appstore,app,G00006008163,1
www.samsung.com,us,appstore,app,G00006028582,1
www.samsung.com,us,appstore,app,G00006076392,1
www.samsung.com,us,appstore,app,G00006220448,1
www.samsung.com,us,appstore,app,G00004319322,1
www.samsung.com,us,appstore,app,G00006291413,1
www.samsung.com,us,appstore,app,G00006320233,1
www.samsung.com,us,appstore,app,G00006320237,1
www.samsung.com,us,appstore,app,G00006320247,1
www.samsung.com,us,appstore,app,G00006320248,1
www.samsung.com,us,appstore,app,G00006370537,1
www.samsung.com,us,appstore,app,G00005756988,1
www.samsung.com,us,appstore,app,G00005692830,1
www.samsung.com,us,appstore,app,G00005574338,1
